sentence,isSafe,timing
1,1,2.76460909843445
2,1,2.15063738822937
3,1,2.27899789810181
4,1,2.33211803436279
5,0,2.68646764755249
6,0,2.23221969604492
7,1,2.42004823684692
8,0,2.53768157958984
9,1,2.16382670402527
10,1,2.05863952636719
11,1,2.67872381210327
12,0,2.26552367210388
13,1,2.29983472824097
14,1,2.50141334533691
15,1,2.54529070854187
16,0,2.45299458503723
17,1,2.16839218139648
18,1,2.36542439460754
19,1,2.18649363517761
20,1,2.42975115776062
21,1,2.24925756454468
22,1,2.25677371025085
23,1,2.73344898223877
24,1,2.75171804428101
25,1,2.64690518379211
26,1,2.74337482452393
27,1,2.61428737640381
28,1,2.66714715957642
29,1,2.54523468017578
30,1,2.59579229354858
31,1,2.26242184638977
32,1,2.26752710342407
33,1,2.19638442993164
34,1,1.90655517578125
35,0,2.7691502571106
36,0,2.22959852218628
37,1,2.23187017440796
38,1,2.36105060577393
39,1,2.72636651992798
40,1,2.12954497337341
41,0,2.08983874320984
42,1,2.75834918022156
43,1,2.13511443138123
44,1,2.18298077583313
45,1,2.48277163505554
46,1,2.35622191429138
47,1,2.73241710662842
48,1,2.43950772285461
49,1,2.1508936882019
50,1,2.6701762676239
51,1,2.29050421714783
52,0,2.29410767555237
53,1,2.3632173538208
54,1,2.74990582466125
55,1,2.65469884872437
56,1,2.30361223220825
57,1,2.28767919540405
58,1,2.16720509529114
59,1,2.08178329467773
60,1,1.98793911933899
61,1,1.9943540096283
62,1,2.08127617835999
63,1,2.54459667205811
64,1,2.43356037139893
65,1,2.75412464141846
66,1,2.24483919143677
67,1,2.67242169380188
68,1,2.65969038009644
69,1,2.24317622184753
70,1,2.23533654212952
71,1,2.19172763824463
72,1,2.77080345153809
73,1,2.49373412132263
74,1,2.71577048301697
75,1,2.48034191131592
76,1,2.65394449234009
77,1,2.29688191413879
78,1,2.77093291282654
79,0,2.64900827407837
80,1,2.17344903945923
81,1,2.7149453163147
82,1,2.45745754241943
83,1,2.66908836364746
84,0,2.09054923057556
85,1,2.35378742218018
86,1,2.27335166931152
87,1,2.66883158683777
88,1,2.72264814376831
89,1,2.10310101509094
90,1,2.42253541946411
91,1,2.70270991325378
92,1,2.01953339576721
93,1,2.36755108833313
94,1,2.74960947036743
95,1,2.41879463195801
96,0,2.64581370353699
97,1,2.18659973144531
98,1,2.35862684249878
99,1,2.23265981674194
100,1,2.70092678070068
101,0,2.78893518447876
102,1,2.3408043384552
103,1,2.79042601585388
104,1,2.35821771621704
105,1,2.45090484619141
106,1,2.19377374649048
107,1,2.01573872566223
108,1,2.7739737033844
109,1,2.35885119438171
110,1,2.11915183067322
111,0,2.75766968727112
112,1,2.22200345993042
113,1,2.07311344146729
114,0,2.08112335205078
115,1,2.26415109634399
116,1,2.72917127609253
117,1,2.13580346107483
118,1,2.63315629959106
119,1,2.29028558731079
120,1,2.16503047943115
121,1,2.66600489616394
122,1,2.0320258140564
123,1,2.70107316970825
124,0,2.68401765823364
125,0,2.30449628829956
126,1,2.47410655021667
127,1,2.18099546432495
128,1,2.17455911636353
129,1,2.07957291603088
130,1,2.25564980506897
131,1,2.22154569625854
132,1,2.6363627910614
133,1,2.26719665527344
134,1,2.73229813575745
135,1,2.73874521255493
136,1,2.21200776100159
137,1,2.7429506778717
